tempo	theta	ref	usig
6.220	98.258	50.000	47.622
6.221	98.280	50.000	47.622
6.222	98.374	50.000	47.622
6.223	98.414	50.000	47.622
6.224	98.370	50.000	47.622
6.225	98.403	50.000	47.622
6.226	98.345	50.000	47.622
6.227	98.356	50.000	47.622
6.228	98.309	50.000	47.622
6.229	98.356	50.000	47.622
6.230	98.395	50.000	47.622
6.231	98.399	50.000	47.622
6.232	98.348	50.000	47.622
6.233	98.370	50.000	47.622
6.234	98.323	50.000	47.622
6.235	98.251	50.000	47.622
6.236	98.334	50.000	47.622
6.237	98.319	50.000	47.622
6.238	98.334	50.000	47.622
6.239	98.345	50.000	47.622
6.240	98.305	50.000	47.622
6.241	98.388	50.000	47.622
6.242	98.392	50.000	47.622
6.243	98.388	50.000	47.622
6.244	98.377	50.000	47.622
6.245	98.341	50.000	47.622
6.246	98.392	50.000	47.622
6.247	98.385	50.000	47.622
6.248	98.392	50.000	47.622
6.249	98.363	50.000	47.622
6.250	98.385	50.000	47.622
6.251	98.370	50.000	47.622
6.252	98.435	50.000	47.622
6.253	98.367	50.000	47.622
6.254	98.377	50.000	47.622
6.255	98.377	50.000	47.622
6.256	98.381	50.000	47.622
6.257	98.377	50.000	47.622
6.258	98.403	50.000	47.622
6.259	98.254	50.000	47.622
6.260	98.359	50.000	47.622
6.261	98.374	50.000	47.622
6.262	98.403	50.000	47.622
6.263	98.338	50.000	47.622
6.264	98.381	50.000	47.622
6.265	98.356	50.000	47.622
6.266	98.374	50.000	47.622
6.267	98.377	50.000	47.622
6.268	98.338	50.000	47.622
6.269	98.367	50.000	47.622
6.270	98.356	50.000	47.622
6.271	98.377	50.000	47.622
6.272	98.377	50.000	47.622
6.273	98.363	50.000	47.622
6.274	98.363	50.000	47.622
6.275	98.352	50.000	47.622
6.276	98.359	50.000	47.622
6.277	98.381	50.000	47.622
6.278	98.406	50.000	47.622
6.279	98.417	50.000	47.622
6.280	98.410	50.000	47.622
6.281	98.504	50.000	47.622
6.282	98.309	50.000	47.622
6.283	98.345	50.000	47.622
6.284	98.294	50.000	47.622
6.285	98.298	50.000	47.622
6.286	98.312	50.000	47.622
6.287	98.338	50.000	47.622
6.288	98.522	50.000	47.622
6.289	98.182	50.000	47.622
6.290	98.345	50.000	47.622
6.291	98.399	50.000	47.622
6.292	98.298	50.000	47.622
6.293	98.370	50.000	47.622
6.294	98.356	50.000	47.622
6.295	98.348	50.000	47.622
6.296	98.345	50.000	47.622
6.297	98.348	50.000	47.622
6.298	98.359	50.000	47.622
6.299	98.323	50.000	47.622
6.300	98.345	50.000	47.622
6.301	98.359	50.000	47.622
6.302	98.338	50.000	47.622
6.303	98.377	50.000	47.622
6.304	98.265	50.000	47.622
6.305	98.366	50.000	47.622
6.306	98.424	50.000	47.622
6.307	98.359	50.000	47.622
6.308	98.338	50.000	47.622
6.309	98.392	50.000	47.622
6.310	98.417	50.000	47.622
6.311	98.385	50.000	47.622
6.312	98.370	50.000	47.622
6.313	98.511	50.000	47.622
6.314	98.395	50.000	47.622
6.315	98.312	50.000	47.622
6.316	98.309	50.000	47.622
6.317	98.367	50.000	47.622
6.318	98.377	50.000	47.622
6.319	98.381	50.000	47.622
6.320	98.377	50.000	47.622
6.321	98.338	50.000	47.622
6.322	98.370	50.000	47.622
6.323	98.316	50.000	47.622
6.324	98.338	50.000	47.622
6.325	98.327	50.000	47.622
6.326	98.341	50.000	47.622
6.327	98.388	50.000	47.622
6.328	98.388	50.000	47.622
6.329	98.392	50.000	47.622
6.330	98.395	50.000	47.622
6.331	98.399	50.000	47.622
6.332	98.330	50.000	47.622
6.333	98.395	50.000	47.622
6.334	98.348	50.000	47.622
6.335	98.381	50.000	47.622
6.336	98.374	50.000	47.622
6.337	98.385	50.000	47.622
6.338	98.450	50.000	47.622
6.339	98.406	50.000	47.622
6.340	98.403	50.000	47.622
6.341	98.330	50.000	47.622
6.342	98.403	50.000	47.622
6.343	98.374	50.000	47.622
6.344	98.428	50.000	47.622
6.345	98.399	50.000	47.622
6.346	98.283	50.000	47.622
6.347	98.410	50.000	47.622
6.348	98.367	50.000	47.622
6.349	98.345	50.000	47.622
6.350	98.316	50.000	47.622
6.351	98.341	50.000	47.622
6.352	98.345	50.000	47.622
6.353	98.377	50.000	47.622
6.354	98.395	50.000	47.622
6.355	98.385	50.000	47.622
6.356	98.327	50.000	47.622
6.357	98.334	50.000	47.622
6.358	98.341	50.000	47.622
6.359	98.377	50.000	47.622
6.360	98.352	50.000	47.622
6.361	98.367	50.000	47.622
6.362	98.399	50.000	47.622
6.363	98.385	50.000	47.622
6.364	98.417	50.000	47.622
6.365	98.345	50.000	47.622
6.366	98.406	50.000	47.622
6.367	98.377	50.000	47.622
6.368	98.319	50.000	47.622
6.369	98.428	50.000	47.622
6.370	98.327	50.000	47.622
6.371	98.287	50.000	47.622
6.372	98.330	50.000	47.622
6.373	98.294	50.000	47.622
6.374	98.312	50.000	47.622
6.375	98.526	50.000	47.622
6.376	98.363	50.000	47.622
6.377	98.301	50.000	47.622
6.378	98.370	50.000	47.622
6.379	98.414	50.000	47.622
6.380	98.334	50.000	47.622
6.381	98.236	50.000	47.622
6.382	98.374	50.000	47.622
6.383	98.363	50.000	47.622
6.384	98.352	50.000	47.622
6.385	98.471	50.000	47.622
6.386	98.305	50.000	47.622
6.387	98.374	50.000	47.622
6.388	98.356	50.000	47.622
6.389	98.345	50.000	47.622
6.390	98.334	50.000	47.622
6.391	98.352	50.000	47.622
6.392	98.367	50.000	47.622
6.393	98.309	50.000	47.622
6.394	98.366	50.000	47.622
6.395	98.381	50.000	47.622
6.396	98.283	50.000	47.622
6.397	98.359	50.000	47.622
6.398	98.316	50.000	47.622
6.399	98.287	50.000	47.622
6.400	98.381	50.000	47.622
6.401	98.338	50.000	47.622
6.402	98.356	50.000	47.622
6.403	98.294	50.000	47.622
6.404	98.348	50.000	47.622
6.405	98.345	50.000	47.622
6.406	98.428	50.000	47.622
6.407	98.359	50.000	47.622
6.408	98.414	50.000	47.622
6.409	98.370	50.000	47.622
6.410	98.385	50.000	47.622
6.411	98.345	50.000	47.622
6.412	98.392	50.000	47.622
6.413	98.334	50.000	47.622
6.414	98.370	50.000	47.622
6.415	98.374	50.000	47.622
6.416	98.352	50.000	47.622
6.417	98.385	50.000	47.622
6.418	98.417	50.000	47.622
6.419	98.406	50.000	47.622
6.420	98.446	50.000	47.622
6.421	98.363	50.000	47.622
6.422	98.359	50.000	47.622
6.423	98.442	50.000	47.622
6.424	98.374	50.000	47.622
6.425	98.414	50.000	47.622
6.426	98.388	50.000	47.622
6.427	98.381	50.000	47.622
6.428	98.432	50.000	47.622
6.429	98.367	50.000	47.622
6.430	98.359	50.000	47.622
6.431	98.345	50.000	47.622
6.432	98.334	50.000	47.622
6.433	98.497	50.000	47.622
6.434	98.399	50.000	47.622
6.435	98.410	50.000	47.622
6.436	98.406	50.000	47.622
6.437	98.406	50.000	47.622
6.438	98.363	50.000	47.622
6.439	98.406	50.000	47.622
6.440	98.399	50.000	47.622
6.441	98.385	50.000	47.622
6.442	98.428	50.000	47.622
6.443	98.330	50.000	47.622
6.444	98.432	50.000	47.622
6.445	98.367	50.000	47.622
6.446	98.363	50.000	47.622
6.447	98.392	50.000	47.622
6.448	98.406	50.000	47.622
6.449	98.359	50.000	47.622
6.450	98.363	50.000	47.622
6.451	98.377	50.000	47.622
6.452	98.352	50.000	47.622
6.453	98.345	50.000	47.622
6.454	98.374	50.000	47.622
6.455	98.363	50.000	47.622
6.456	98.497	50.000	47.622
6.457	98.406	50.000	47.622
6.458	98.352	50.000	47.622
6.459	98.348	50.000	47.622
6.460	98.388	50.000	47.622
6.461	98.356	50.000	47.622
6.462	98.370	50.000	47.622
6.463	98.471	50.000	47.622
6.464	98.424	50.000	47.622
6.465	98.305	50.000	47.622
6.466	98.392	50.000	47.622
6.467	98.312	50.000	47.622
6.468	98.341	50.000	47.622
6.469	98.334	50.000	47.622
6.470	98.283	50.000	47.622
6.471	98.254	50.000	47.622
6.472	98.453	50.000	47.622
6.473	98.381	50.000	47.622
6.474	98.367	50.000	47.622
6.475	98.341	50.000	47.622
6.476	98.363	50.000	47.622
6.477	98.348	50.000	47.622
6.478	98.240	50.000	47.622
6.479	98.381	50.000	47.622
6.480	98.370	50.000	47.622
6.481	98.363	50.000	47.622
6.482	98.392	50.000	47.622
