tempo	theta	ref	usig
1.220	88.328	50.000	51.328
1.221	88.195	50.000	51.328
1.222	88.282	50.000	51.328
1.223	88.188	50.000	51.328
1.224	88.271	50.000	51.328
1.225	88.221	50.000	51.328
1.226	88.275	50.000	51.328
1.227	88.275	50.000	51.328
1.228	88.235	50.000	51.328
1.229	88.332	50.000	51.328
1.230	88.264	50.000	51.328
1.231	88.296	50.000	51.328
1.232	88.228	50.000	51.328
1.233	88.192	50.000	51.328
1.234	88.260	50.000	51.328
1.235	88.210	50.000	51.328
1.236	88.260	50.000	51.328
1.237	88.282	50.000	51.328
1.238	88.292	50.000	51.328
1.239	88.361	50.000	51.328
1.240	88.221	50.000	51.328
1.241	88.213	50.000	51.328
1.242	88.185	50.000	51.328
1.243	88.278	50.000	51.328
1.244	88.343	50.000	51.328
1.245	88.310	50.000	51.328
1.246	88.343	50.000	51.328
1.247	88.228	50.000	51.328
1.248	88.246	50.000	51.328
1.249	88.303	50.000	51.328
1.250	88.217	50.000	51.328
1.251	88.275	50.000	51.328
1.252	88.249	50.000	51.328
1.253	88.199	50.000	51.328
1.254	88.325	50.000	51.328
1.255	88.275	50.000	51.328
1.256	88.217	50.000	51.328
1.257	88.217	50.000	51.328
1.258	88.267	50.000	51.328
1.259	88.257	50.000	51.328
1.260	88.296	50.000	51.328
1.261	88.221	50.000	51.328
1.262	88.167	50.000	51.328
1.263	88.206	50.000	51.328
1.264	88.156	50.000	51.328
1.265	88.181	50.000	51.328
1.266	88.195	50.000	51.328
1.267	88.203	50.000	51.328
1.268	88.181	50.000	51.328
1.269	88.242	50.000	51.328
1.270	88.285	50.000	51.328
1.271	88.188	50.000	51.328
1.272	88.124	50.000	51.328
1.273	88.224	50.000	51.328
1.274	88.303	50.000	51.328
1.275	88.343	50.000	51.328
1.276	88.246	50.000	51.328
1.277	88.228	50.000	51.328
1.278	88.382	50.000	51.328
1.279	88.397	50.000	51.328
1.280	88.285	50.000	51.328
1.281	88.249	50.000	51.328
1.282	88.354	50.000	51.328
1.283	88.296	50.000	51.328
1.284	88.300	50.000	51.328
1.285	88.257	50.000	51.328
1.286	88.246	50.000	51.328
1.287	88.260	50.000	51.328
1.288	88.231	50.000	51.328
1.289	88.303	50.000	51.328
1.290	88.253	50.000	51.328
1.291	88.390	50.000	51.328
1.292	88.242	50.000	51.328
1.293	88.206	50.000	51.328
1.294	88.296	50.000	51.328
1.295	88.253	50.000	51.328
1.296	88.206	50.000	51.328
1.297	88.199	50.000	51.328
1.298	88.293	50.000	51.328
1.299	88.228	50.000	51.328
1.300	88.246	50.000	51.328
1.301	88.328	50.000	51.328
1.302	88.285	50.000	51.328
1.303	88.267	50.000	51.328
1.304	88.260	50.000	51.328
1.305	88.307	50.000	51.328
1.306	88.264	50.000	51.328
1.307	88.328	50.000	51.328
1.308	88.346	50.000	51.328
1.309	88.303	50.000	51.328
1.310	88.282	50.000	51.328
1.311	88.289	50.000	51.328
1.312	88.325	50.000	51.328
1.313	88.285	50.000	51.328
1.314	88.321	50.000	51.328
1.315	88.271	50.000	51.328
1.316	88.275	50.000	51.328
1.317	88.296	50.000	51.328
1.318	88.314	50.000	51.328
1.319	88.235	50.000	51.328
1.320	88.285	50.000	51.328
1.321	88.285	50.000	51.328
1.322	88.246	50.000	51.328
1.323	88.260	50.000	51.328
1.324	88.282	50.000	51.328
1.325	88.357	50.000	51.328
1.326	88.336	50.000	51.328
1.327	88.285	50.000	51.328
1.328	88.303	50.000	51.328
1.329	88.264	50.000	51.328
1.330	88.239	50.000	51.328
