tempo	theta	ref	usig
15.740	0.748	1.000	0.000
15.741	0.726	1.000	0.000
15.742	0.614	1.000	0.000
15.743	0.773	1.000	0.000
15.744	0.686	1.000	0.000
15.745	0.748	1.000	0.000
15.746	0.759	1.000	0.000
15.747	0.737	1.000	0.000
15.748	0.701	1.000	0.000
15.749	0.704	1.000	0.000
15.750	0.621	1.000	0.000
15.751	0.813	1.000	0.000
15.752	0.744	1.000	0.000
15.753	0.748	1.000	0.000
15.754	0.730	1.000	0.000
15.755	0.770	1.000	0.000
15.756	0.653	1.000	0.000
15.757	0.672	1.000	0.000
15.758	0.730	1.000	0.000
15.759	0.657	1.000	0.000
15.760	0.621	1.000	0.000
15.761	0.813	1.000	0.000
15.762	0.744	1.000	0.000
15.763	0.650	1.000	0.000
15.764	0.588	1.000	0.000
15.765	0.784	1.000	0.000
15.766	0.802	1.000	0.000
15.767	0.722	1.000	0.000
15.768	0.770	1.000	0.000
15.769	0.788	1.000	0.000
15.770	0.730	1.000	0.000
15.771	0.664	1.000	0.000
15.772	0.697	1.000	0.000
15.773	0.690	1.000	0.000
15.774	0.712	1.000	0.000
15.775	0.770	1.000	0.000
15.776	0.722	1.000	0.000
15.777	0.708	1.000	0.000
15.778	0.733	1.000	0.000
15.779	0.762	1.000	0.000
15.780	0.628	1.000	0.000
15.781	0.672	1.000	0.000
15.782	0.664	1.000	0.000
15.783	0.733	1.000	0.000
15.784	0.719	1.000	0.000
15.785	0.748	1.000	0.000
15.786	0.759	1.000	0.000
15.787	0.722	1.000	0.000
15.788	0.599	1.000	0.000
15.789	0.686	1.000	0.000
15.790	0.701	1.000	0.000
15.791	0.712	1.000	0.000
15.792	0.744	1.000	0.000
15.793	0.722	1.000	0.000
15.794	0.741	1.000	0.000
15.795	0.653	1.000	0.000
15.796	0.621	1.000	0.000
15.797	0.566	1.000	0.000
15.798	0.635	1.000	0.000
15.799	0.668	1.000	0.000
15.800	0.690	1.000	0.000
15.801	0.693	1.000	0.000
15.802	0.661	1.000	0.000
15.803	0.693	1.000	0.000
15.804	0.690	1.000	0.000
15.805	0.668	1.000	0.000
15.806	0.614	1.000	0.000
15.807	0.617	1.000	0.000
15.808	0.722	1.000	0.000
15.809	0.726	1.000	0.000
15.810	0.722	1.000	0.000
15.811	0.697	1.000	0.000
15.812	0.715	1.000	0.000
15.813	0.646	1.000	0.000
15.814	0.697	1.000	0.000
15.815	0.697	1.000	0.000
15.816	0.559	1.000	0.000
15.817	0.675	1.000	0.000
15.818	0.708	1.000	0.000
15.819	0.817	1.000	0.000
15.820	0.701	1.000	0.000
15.821	0.741	1.000	0.000
15.822	0.704	1.000	0.000
15.823	0.679	1.000	0.000
15.824	0.755	1.000	0.000
15.825	0.697	1.000	0.000
15.826	0.679	1.000	0.000
15.827	0.653	1.000	0.000
15.828	0.624	1.000	0.000
15.829	0.668	1.000	0.000
15.830	0.686	1.000	0.000
15.831	0.675	1.000	0.000
15.832	0.751	1.000	0.000
15.833	0.606	1.000	0.000
15.834	0.588	1.000	0.000
15.835	0.563	1.000	0.000
15.836	0.617	1.000	0.000
15.837	0.697	1.000	0.000
15.838	0.799	1.000	0.000
15.839	0.762	1.000	0.000
15.840	0.788	1.000	0.000
15.841	0.584	1.000	0.000
15.842	0.686	1.000	0.000
15.843	0.744	1.000	0.000
15.844	0.668	1.000	0.000
15.845	0.657	1.000	0.000
15.846	0.813	1.000	0.000
15.847	0.813	1.000	0.000
15.848	0.762	1.000	0.000
15.849	0.762	1.000	0.000
15.850	0.639	1.000	0.000
15.851	0.639	1.000	0.000
15.852	0.617	1.000	0.000
15.853	0.646	1.000	0.000
15.854	0.755	1.000	0.000
15.855	0.759	1.000	0.000
15.856	0.777	1.000	0.000
15.857	0.762	1.000	0.000
15.858	0.686	1.000	0.000
15.859	0.690	1.000	0.000
15.860	0.672	1.000	0.000
15.861	0.733	1.000	0.000
15.862	0.712	1.000	0.000
15.863	0.726	1.000	0.000
15.864	0.719	1.000	0.000
15.865	0.686	1.000	0.000
15.866	0.712	1.000	0.000
15.867	0.722	1.000	0.000
15.868	0.657	1.000	0.000
15.869	0.726	1.000	0.000
15.870	0.682	1.000	0.000
15.871	0.715	1.000	0.000
15.872	0.828	1.000	0.000
